week,date,operation_unit,process_stage,region,orders_processed,orders_delayed,defects_count,avg_processing_time,customer_complaints,cost_per_order
1,2021-01-01,Support Team,delivery,West,2,100,0,0.6,100,610.45
1,2021-01-01,Support Team,packaging,West,1,0,0,0.53,100,104.32
1,2021-01-01,Warehouse A,delivery,North,7,500,0,2.73,300,383.3
1,2021-01-01,Warehouse A,order_processing,North,8,600,0,3.11,500,513.94
1,2021-01-01,Warehouse A,packaging,North,2,200,0,3.91,200,286.17
1,2021-01-01,Warehouse A,shipping,North,3,200,0,2.22,200,268.33
1,2021-01-01,Warehouse B,order_processing,South,1,100,0,0.77,100,103.83
1,2021-01-01,Support Team,order_processing,West,1,100,0,1.98,100,754.57
1,2021-01-01,Support Team,packaging,West,2,200,0,0.75,200,912.99
1,2021-01-01,Support Team,shipping,West,1,100,0,1.64,100,846.31
1,2021-01-01,Warehouse A,delivery,North,9,800,0,2.36,500,468.54
1,2021-01-01,Warehouse A,order_processing,North,5,200,0,2.59,300,319.66
1,2021-01-01,Warehouse A,packaging,North,3,300,0,3.43,200,662.0
1,2021-01-01,Warehouse A,shipping,North,3,300,0,2.05,200,782.41
1,2021-01-01,Support Team,packaging,West,1,100,0,1.71,0,555.07
1,2021-01-01,Warehouse A,delivery,North,7,600,0,2.39,400,562.05
1,2021-01-01,Warehouse A,order_processing,North,8,700,0,2.72,600,444.77
1,2021-01-01,Warehouse A,packaging,North,6,200,0,2.87,600,478.56
1,2021-01-01,Warehouse A,shipping,North,1,100,0,3.93,0,521.78
1,2021-01-01,Warehouse B,order_processing,South,1,100,0,2.07,0,260.07
1,2021-01-01,Warehouse A,delivery,North,5,400,0,1.59,300,241.56
1,2021-01-01,Warehouse A,order_processing,North,9,800,0,2.92,600,406.25
1,2021-01-01,Warehouse A,packaging,North,5,500,0,2.77,300,497.97
1,2021-01-01,Warehouse A,shipping,North,3,200,0,3.99,100,186.13
1,2021-01-01,Warehouse B,order_processing,South,2,100,0,0.58,200,162.01
1,2021-01-01,Warehouse A,delivery,North,6,300,0,2.03,300,380.99
1,2021-01-01,Warehouse A,order_processing,North,11,800,0,1.3,500,387.58
1,2021-01-01,Warehouse A,packaging,North,5,300,0,2.16,400,402.8
1,2021-01-01,Warehouse A,shipping,North,1,100,0,3.71,100,523.75
1,2021-01-01,Warehouse B,delivery,South,1,100,0,4.71,100,104.33
1,2021-01-01,Support Team,order_processing,West,1,100,0,1.61,100,816.29
1,2021-01-01,Warehouse A,delivery,North,9,500,0,2.02,800,553.58
1,2021-01-01,Warehouse A,order_processing,North,7,500,0,1.63,500,536.27
1,2021-01-01,Warehouse A,packaging,North,4,400,0,2.37,300,203.84
1,2021-01-01,Warehouse A,shipping,North,2,200,0,2.96,200,123.26
1,2021-01-01,Warehouse B,order_processing,South,1,100,0,0.55,100,775.41
1,2021-01-01,Support Team,delivery,West,1,100,0,0.55,100,429.2
1,2021-01-01,Warehouse A,delivery,North,9,700,0,2.33,500,178.72
1,2021-01-01,Warehouse A,order_processing,North,8,600,0,3.19,800,498.49
1,2021-01-01,Warehouse A,packaging,North,2,200,0,1.12,200,466.92
1,2021-01-01,Warehouse A,shipping,North,2,200,0,2.73,100,331.43
1,2021-01-01,Warehouse B,delivery,South,1,100,0,4.03,0,807.01
1,2021-01-01,Warehouse B,order_processing,South,1,0,0,3.03,100,583.24
2,2021-01-08,Support Team,delivery,West,2,100,0,3.71,200,653.87
2,2021-01-08,Support Team,order_processing,West,1,100,0,3.54,100,513.16
